Metric,precision,recall,f1-score,support,Model
AC,0.6666666666666666,0.125,0.21052631578947367,16.0,layers_2_opt_SGD_act_relu_epochs_5.h5
accuracy,0.6240601503759399,0.6240601503759399,0.6240601503759399,0.6240601503759399,layers_2_opt_SGD_act_relu_epochs_5.h5
macro avg,0.6254455768067383,0.5328703703703704,0.5191250986682963,133.0,layers_2_opt_SGD_act_relu_epochs_5.h5
weighted avg,0.6424901077207889,0.6240601503759399,0.5889488827867544,133.0,layers_2_opt_SGD_act_relu_epochs_5.h5
TV,0.75,0.975,0.8478260869565217,40.0,layers_2_opt_SGD_act_relu_epochs_10.h5
Geyser,0.8518518518518519,0.8518518518518519,0.8518518518518519,27.0,layers_2_opt_SGD_act_relu_epochs_10.h5
Refrigerator,0.9333333333333333,0.875,0.9032258064516129,32.0,layers_2_opt_SGD_act_relu_epochs_10.h5
Washing Machine,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0,layers_2_opt_SGD_act_relu_epochs_10.h5
AC,1.0,0.5625,0.72,16.0,layers_2_opt_SGD_act_relu_epochs_10.h5
accuracy,0.849624060150376,0.849624060150376,0.849624060150376,0.849624060150376,layers_2_opt_SGD_act_relu_epochs_10.h5
macro avg,0.8937037037037037,0.8084259259259259,0.834277718748967,133.0,layers_2_opt_SGD_act_relu_epochs_10.h5
weighted avg,0.8696741854636592,0.849624060150376,0.846684184642404,133.0,layers_2_opt_SGD_act_relu_epochs_10.h5
TV,0.975,0.975,0.975,40.0,layers_2_opt_SGD_act_relu_epochs_20.h5
Geyser,0.9310344827586207,1.0,0.9642857142857143,27.0,layers_2_opt_SGD_act_relu_epochs_20.h5
Refrigerator,0.96875,0.96875,0.96875,32.0,layers_2_opt_SGD_act_relu_epochs_20.h5
Washing Machine,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0,layers_2_opt_SGD_act_relu_epochs_20.h5
AC,0.9285714285714286,0.8125,0.8666666666666667,16.0,layers_2_opt_SGD_act_relu_epochs_20.h5
accuracy,0.9548872180451128,0.9548872180451128,0.9548872180451128,0.9548872180451128,layers_2_opt_SGD_act_relu_epochs_20.h5
macro avg,0.9495600711548988,0.9401388888888889,0.943829365079365,133.0,layers_2_opt_SGD_act_relu_epochs_20.h5
weighted avg,0.9548501796362828,0.9548872180451128,0.9541532402434658,133.0,layers_2_opt_SGD_act_relu_epochs_20.h5
TV,0.6808510638297872,0.8,0.735632183908046,40.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
Geyser,0.5348837209302325,0.8518518518518519,0.6571428571428571,27.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
Refrigerator,0.6190476190476191,0.40625,0.49056603773584906,32.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
Washing Machine,0.75,0.3333333333333333,0.46153846153846156,18.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
AC,0.5,0.4375,0.4666666666666667,16.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
accuracy,0.6090225563909775,0.6090225563909775,0.6090225563909775,0.6090225563909775,layers_2_opt_SGD_act_tanh_epochs_5.h5
macro avg,0.6169564807615278,0.565787037037037,0.5623092413983761,133.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
weighted avg,0.623950577652869,0.6090225563909775,0.5912828321886099,133.0,layers_2_opt_SGD_act_tanh_epochs_5.h5
TV,0.72,0.9,0.8,40.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
Geyser,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
Refrigerator,0.875,0.65625,0.75,32.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
Washing Machine,0.8666666666666667,0.7222222222222222,0.7878787878787878,18.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
AC,0.6666666666666666,0.625,0.6451612903225806,16.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
accuracy,0.7669172932330827,0.7669172932330827,0.7669172932330827,0.7669172932330827,layers_2_opt_SGD_act_tanh_epochs_10.h5
macro avg,0.7773908045977012,0.7436574074074074,0.7537508727831308,133.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
weighted avg,0.7785671074237318,0.7669172932330827,0.764802139408009,133.0,layers_2_opt_SGD_act_tanh_epochs_10.h5
TV,0.8372093023255814,0.9,0.8674698795180723,40.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
Geyser,0.9545454545454546,0.7777777777777778,0.8571428571428571,27.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
Refrigerator,0.9655172413793104,0.875,0.9180327868852459,32.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
Washing Machine,0.8095238095238095,0.9444444444444444,0.8717948717948718,18.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
AC,0.6666666666666666,0.75,0.7058823529411765,16.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,layers_2_opt_SGD_act_tanh_epochs_20.h5
macro avg,0.8466924948881646,0.8494444444444446,0.8440645496564446,133.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
weighted avg,0.8676371904359677,0.8571428571428571,0.8586851642351461,133.0,layers_2_opt_SGD_act_tanh_epochs_20.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_SGD_act_sigmoid_epochs_5.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_SGD_act_sigmoid_epochs_10.h5
TV,0.3007518796992481,1.0,0.4624277456647399,40.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
Geyser,0.0,0.0,0.0,27.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
Refrigerator,0.0,0.0,0.0,32.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
Washing Machine,0.0,0.0,0.0,18.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
AC,0.0,0.0,0.0,16.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
accuracy,0.3007518796992481,0.3007518796992481,0.3007518796992481,0.3007518796992481,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
macro avg,0.06015037593984962,0.2,0.09248554913294797,133.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
weighted avg,0.090451693142631,0.3007518796992481,0.13907601373375633,133.0,layers_2_opt_SGD_act_sigmoid_epochs_20.h5
TV,0.9487179487179487,0.925,0.9367088607594937,40.0,layers_3_opt_adam_act_relu_epochs_5.h5
Geyser,0.9565217391304348,0.8148148148148148,0.88,27.0,layers_3_opt_adam_act_relu_epochs_5.h5
Refrigerator,0.9411764705882353,1.0,0.9696969696969697,32.0,layers_3_opt_adam_act_relu_epochs_5.h5
Washing Machine,0.72,1.0,0.8372093023255814,18.0,layers_3_opt_adam_act_relu_epochs_5.h5
AC,0.8333333333333334,0.625,0.7142857142857143,16.0,layers_3_opt_adam_act_relu_epochs_5.h5
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,layers_3_opt_adam_act_relu_epochs_5.h5
macro avg,0.8799498983539904,0.8729629629629629,0.8675801694135519,133.0,layers_3_opt_adam_act_relu_epochs_5.h5
weighted avg,0.9036525210330566,0.8947368421052632,0.8929097468504863,133.0,layers_3_opt_adam_act_relu_epochs_5.h5
TV,0.9512195121951219,0.975,0.9629629629629629,40.0,layers_3_opt_adam_act_relu_epochs_10.h5
Geyser,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0,layers_3_opt_adam_act_relu_epochs_10.h5
Refrigerator,0.9117647058823529,0.96875,0.9393939393939394,32.0,layers_3_opt_adam_act_relu_epochs_10.h5
Washing Machine,1.0,1.0,1.0,18.0,layers_3_opt_adam_act_relu_epochs_10.h5
AC,1.0,0.875,0.9333333333333333,16.0,layers_3_opt_adam_act_relu_epochs_10.h5
accuracy,0.9548872180451128,0.9548872180451128,0.9548872180451128,0.9548872180451128,layers_3_opt_adam_act_relu_epochs_10.h5
macro avg,0.9649045359231874,0.9489351851851853,0.9558172924210661,133.0,layers_3_opt_adam_act_relu_epochs_10.h5
weighted avg,0.956291650658486,0.9548872180451128,0.9547680904185374,133.0,layers_3_opt_adam_act_relu_epochs_10.h5
TV,1.0,0.975,0.9873417721518988,40.0,layers_3_opt_adam_act_relu_epochs_20.h5
Geyser,0.96,0.8888888888888888,0.9230769230769231,27.0,layers_3_opt_adam_act_relu_epochs_20.h5
Refrigerator,0.9411764705882353,1.0,0.9696969696969697,32.0,layers_3_opt_adam_act_relu_epochs_20.h5
Washing Machine,0.9473684210526315,1.0,0.972972972972973,18.0,layers_3_opt_adam_act_relu_epochs_20.h5
AC,1.0,1.0,1.0,16.0,layers_3_opt_adam_act_relu_epochs_20.h5
